employee_id,username,password,email,isAdmin,department,team,timeSpent,gender
1,Ywu,4029acef5202c41c4a2eebc3adc5c2b4fd7b03c1432a7d62b7f0d52f685fea64,samanthaperkins@example.net,True,Data Management,Infrastructure Team,86049,Male
2,Jennifer27,df2695d41ba937f55c8500719e8442411162a9b279aa43ec2ecd916a777cbe33,wevans@example.net,True,Software Development,Technical Support Team,56812,Female
3,Vedwards,a17b631853d6ce57906509bca37fc24f7a75b8e359cf6889bd9ff521dbbcd39b,matthew60@example.net,False,Cloud Services,User Experience (Ux) Team,79179,Male
4,Gonzalessabrina,4ce6d4316823bb3e3b05f879cfc8728b55a7fa3af4be123e6cbf64baee8a00ee,melissa00@example.net,True,It Support,Devops Team,63847,Male
5,Jessica89,6c317fa4a742abc70f52cf23322e424ee096b151d24837e6598be8c259a2467f,tonya60@example.org,False,Software Development,User Experience (Ux) Team,10197,Male
6,Denise90,4999880b99380404e6f5841e6f660974881e6ee55567016f136c2f0699bd87d9,eanderson@example.org,False,Software Development,User Experience (Ux) Team,77159,Female
7,Jennifer04,52236a167ca316738a44fba3a21f3dea2b046657b1476e52ed65f73c51fb0d8c,ddavidson@example.com,False,Cybersecurity,Quality Assurance (Qa) Team,92601,Male
8,Tracykelly,14bd078e95d9b18731f5651895355901796caf4f5a4a46512552823fd729fdb7,hayesmelissa@example.com,True,Cybersecurity,Infrastructure Team,72228,Female
9,Michaelhernandez,0e1594f828ecf7de280c36543c36657509e2138fe0ebc621f5d22b02ed0218fb,ianharris@example.net,False,Data Management,Technical Support Team,44318,Male
10,Hamptonmary,8c92da9bac8f0298548d7531b40bdd4d08bfe4e5c9ef76a47f92081db49e779a,david49@example.com,False,Data Management,Devops Team,51102,Male
11,Johnsonleonard,1e7cf36ac3ab7b3d71cca3d7638b2acc9dc7ff62715f313a0a2c36677c02d7e0,robertmorris@example.com,False,It Support,Data Analytics Team,91451,Female
12,Newing,a096562793909fd783aa1934f293c06bdb041d403c194dd72ed5842dbceb5152,revans@example.net,False,Data Management,User Experience (Ux) Team,42581,Male
13,Herrerajacob,75f6c57b4a2f510e152acd12867018645404aa73516e03d4e4dc182000bb5f9f,vegatammy@example.org,True,Data Management,User Experience (Ux) Team,57163,Male
14,Zacharylee,fd0561a8e0d534f3ba2210e1ca267f4b8ce62f8db30acb8c9f12683d5710ea3e,julia44@example.com,False,Network Administration,User Experience (Ux) Team,54195,Female
15,Leslie54,4861500ff015d5c295591c156dc544502acdc9821f804eef8bbe56a1c0eb95b0,gloverjason@example.org,False,Software Development,Infrastructure Team,944,Female
16,Jamesbradford,f8734937b6a704cbeefa0c861cce0b28c5735cb0744cb8ffe95f47d458dc8f72,jacksontravis@example.net,False,Network Administration,Infrastructure Team,87580,Male
17,Woodspatricia,19b0119673015d2b848d4a108bdb5240e862a96f792ac7a2073109085001c142,turnerkatherine@example.com,False,Network Administration,User Experience (Ux) Team,67030,Male
18,Charlenejacobs,f304a034f104ed3f59239b06e9efffeef02f98d7076c2cebd91febbf9808c093,meganlopez@example.net,False,Cybersecurity,Data Analytics Team,31073,Female
19,James75,86519fe26f9c7e8fa85befe861742fdd36ec7c62c727fe1dab204685eaa2a22c,vargasjill@example.org,True,Network Administration,Infrastructure Team,60894,Female
20,Rickygarcia,d674f90f1ff148f441571a39c213b173669592c3045f049cc36d18e448eccb48,edgarhernandez@example.com,False,Data Management,Devops Team,84940,Female
21,Joshua14,d3d70341a43efc0e69ed74fa191c6fda438b8c3e35795828790f29cf3e84615d,kathleen86@example.com,True,Data Management,Quality Assurance (Qa) Team,74223,Female
22,Dustin00,0d62361f678c29a5af24548797cb5dfa865fe0192526e46df9b076c2849ce48b,isaiah96@example.com,False,Cloud Services,Devops Team,51571,Male
23,Hhodges,d703b6bb5879629ea8271c67723b31fe4f8b710de7bf8696a88ca280e268fa83,joneschad@example.com,False,Network Administration,Quality Assurance (Qa) Team,86001,Male
24,Gwendolynfields,7cceb79d22e18a2d1f0229b6cb622f1bc1cf87fb678c084320025b76afbf8d4e,hernandezkatherine@example.net,False,Network Administration,Quality Assurance (Qa) Team,84952,Female
25,Scott93,cae68c9789975963df23741fa49c6624684923441815e4595eb2a086e1901bda,cynthiaosborne@example.net,False,Data Management,Quality Assurance (Qa) Team,71183,Male
26,Jhill,a66eb6d52e794e6ec7ce5e0777c47f7cfb099fd90d0d5106e918efebb1cbaf00,bethany49@example.net,False,Software Development,Devops Team,49762,Male
27,Slee,9377d70405dd927d70b99d948dd540c8f5c7caffb0d69bccab083d521e1ae1fe,ugray@example.com,False,Network Administration,Technical Support Team,20077,Female
28,Vross,e16e802933e2a4b1ae0e3b74ad6a5ccffaab1e166f71fe19678928bd175d63e1,joannphillips@example.net,False,Software Development,Data Analytics Team,46426,Male
29,Msparks,db62ae807dbadd8b1314a6c7657f7b2df78d29557168dee35e959722c4ee173b,nancy39@example.net,False,Cybersecurity,Data Analytics Team,96587,Male
30,Alexandergary,d5d7b9cd5205ba2fd3e1c41e4704c3e94d5eafa173509e41fef3b64c6a867e7a,marcusellis@example.com,False,Network Administration,Data Analytics Team,34843,Female
31,Brianamartin,456ef76717f946f04678432c486c2e399fd588da3bfdfa6f102749ce6eaec238,omurillo@example.com,False,It Support,Infrastructure Team,29667,Female
32,Weaverronald,1edf7aba52f7943d07f43e298f99e7bfe48530ca15dd77b051bd9e236dd73181,zmoreno@example.com,False,Network Administration,Infrastructure Team,96507,Male
33,Lawsoncrystal,6c5b8e8e02a1dfc3561e21b1928cca272294d535d1b2214c06e992b3908b94ec,erobinson@example.net,False,It Support,Technical Support Team,39990,Female
34,Kylemiller,72fa08fa850efddb8de23122ad1bd5f71703906449c0cce9270fdd274b3800ab,mmorales@example.org,False,Network Administration,User Experience (Ux) Team,28197,Female
35,Urobertson,feaee4091459f68de52ef8820645b610ae310efb804c98f68da0c0c1d96a4212,bauersteven@example.net,False,Network Administration,User Experience (Ux) Team,24651,Female
36,Igoodwin,fb4613ee097a049c178efa2cfec5ad890a394b32d7baeee8b95a5bf91c198891,sarahcarlson@example.org,False,It Support,User Experience (Ux) Team,31538,Male
37,Moranedwin,37b05c62736cbd6038b330ae40120a4161978f2a73c24319aee75b06e8a2e665,miranda60@example.org,False,It Support,Infrastructure Team,42733,Male
38,Lorrainesullivan,7fb139d044c41172878f92247cb7fedee3e64216901b3601c9fce281ae75387e,laura16@example.org,False,Network Administration,Data Analytics Team,93916,Female
39,Kimberly68,8e2604ee504b53718ed7aaf74e771406ccbf0777764c12f0b327531861609140,cstafford@example.net,True,Network Administration,Technical Support Team,11930,Male
40,Amanda58,f32b42a053c115c7c744a135f7bd796cca0483c89c017dcd88559c665d328259,khernandez@example.net,False,Data Management,Infrastructure Team,38586,Female
41,Reedwendy,07b6c3b76826f227c5e27a3ea4fe5b2c0dedaf9da122238cb0e51212dd2d0479,jmiller@example.org,False,Cloud Services,Devops Team,24260,Male
42,Ryansloan,3e6389639a7ad1fc6c830d64aa4314baac6c77fdd05fc57ea8cb88f127164d5a,jennifer56@example.com,False,Data Management,Infrastructure Team,96663,Female
43,Lmartinez,5ad376870879263979899dc9142f4581cc62b6fe1197f180a8568f8bcc3b10cc,jeremybailey@example.org,False,Network Administration,Quality Assurance (Qa) Team,31095,Male
44,Melissareed,2288923c9976faba704db464dc7c9ec149f2b4ab6e724e78691e4df4704e4039,kimberlyfrazier@example.org,True,Cybersecurity,Devops Team,58778,Female
45,Jamesmonroe,977272366f0299c9744d7a501424bda33f54b7af4076734bc31466c51d876ffd,miranda04@example.org,False,Network Administration,Devops Team,53897,Female
46,Charles05,b19718ca366bdf1ee3345398ec1dd9b5e13fb397bba293571900aa970cce9b98,ncunningham@example.net,False,Software Development,Infrastructure Team,20019,Male
47,Emilyrogers,95df6d7bab110cf850bd9f1e03558f802c66954804fb5cb79eaadf060b343ed9,amy47@example.com,False,Cybersecurity,Devops Team,79719,Female
48,Fordgregory,98ea1dc7fc316bd71c4c3f7ed50f0bfc0bd87128c9533ea87c72bc5184f39d54,stewartsamantha@example.org,False,Cybersecurity,Data Analytics Team,30625,Male
49,Grayjeremy,15fd2dd4ab0bb61fc9c8d144dbd179e3b82d89ca0e70520f00917f677aee15dd,qenglish@example.com,False,It Support,Devops Team,71364,Male
50,Qcollins,7ef7a3ba868e55be09da7527b8839302645390fab89431467c7d6095da7dba85,katherinewalker@example.net,False,Network Administration,Technical Support Team,9439,Male
51,Michele43,4af061e61128006b7358f59e21fd7c291fec4556629ef0abceaba6b0675603f9,wrightlonnie@example.net,False,Software Development,Quality Assurance (Qa) Team,99006,Female
52,Baldwinbrandon,2918dde8ad719d54ebee7a38186c0924cfee7000451f81180ad7aba1056a2473,epope@example.org,False,Software Development,Devops Team,19220,Female
53,Karen64,378c1fa4a98540fd252bf1cc9e96c65a5db0283a8e1d18e3f44f210c0ba21380,christopher12@example.net,True,It Support,User Experience (Ux) Team,64004,Male
54,Kevincastaneda,33f6d7e70792f96436116d667e6109817ebd5100b1c830298cd3035d23739c47,sallyclark@example.com,False,Cybersecurity,Technical Support Team,1995,Female
55,Oscarmartinez,351e0f02debd0ef4082dbab66e84df4fd15d2289f5c3b1b37f60b57490f44ca9,brandi54@example.com,False,It Support,Quality Assurance (Qa) Team,86703,Female
56,Calhounkimberly,54de2bfeee0dc9bea6a1945a5c55cb65dacb35d4ee7a2b1113cb728b539a1557,hvelasquez@example.org,False,Software Development,Technical Support Team,43124,Female
